StudentID,FirstName,LastName,GradeLevel,Homeroom,Subject,Term,Score,AttendancePct,Gender,LearningSupport,Extracurricular,HomeworkCompletionPct,Teacher
S001,Amina,Hassan,6,6A,Math,Term 1,78,94,F,None,Robotics,88,Ms. Carter
S001,Amina,Hassan,6,6A,Science,Term 1,82,94,F,None,Robotics,91,Mr. Okonkwo
S001,Amina,Hassan,6,6A,English,Term 1,85,94,F,None,Robotics,93,Ms. Rivera
S001,Amina,Hassan,6,6A,Math,Term 2,84,96,F,None,Robotics,90,Ms. Carter
S001,Amina,Hassan,6,6A,Science,Term 2,88,96,F,None,Robotics,94,Mr. Okonkwo
S001,Amina,Hassan,6,6A,English,Term 2,87,96,F,None,Robotics,95,Ms. Rivera
S002,Noah,Patel,6,6A,Math,Term 1,62,81,M,Reading Support,Soccer,70,Ms. Carter
S002,Noah,Patel,6,6A,Science,Term 1,68,81,M,Reading Support,Soccer,74,Mr. Okonkwo
S002,Noah,Patel,6,6A,English,Term 1,58,81,M,Reading Support,Soccer,65,Ms. Rivera
S002,Noah,Patel,6,6A,Math,Term 2,71,86,M,Reading Support,Soccer,78,Ms. Carter
S002,Noah,Patel,6,6A,Science,Term 2,74,86,M,Reading Support,Soccer,80,Mr. Okonkwo
S002,Noah,Patel,6,6A,English,Term 2,66,86,M,Reading Support,Soccer,72,Ms. Rivera
S003,Layla,Nguyen,6,6B,Math,Term 1,91,98,F,None,Debate,96,Ms. Carter
S003,Layla,Nguyen,6,6B,Science,Term 1,89,98,F,None,Debate,95,Mr. Okonkwo
S003,Layla,Nguyen,6,6B,English,Term 1,94,98,F,None,Debate,97,Ms. Rivera
S003,Layla,Nguyen,6,6B,Math,Term 2,93,97,F,None,Debate,98,Ms. Carter
S003,Layla,Nguyen,6,6B,Science,Term 2,92,97,F,None,Debate,96,Mr. Okonkwo
S003,Layla,Nguyen,6,6B,English,Term 2,95,97,F,None,Debate,98,Ms. Rivera
S004,Omar,Khalil,7,7A,Math,Term 1,55,72,M,Math Intervention,None,58,Mr. Diaz
S004,Omar,Khalil,7,7A,Science,Term 1,61,72,M,Math Intervention,None,62,Ms. Brooks
S004,Omar,Khalil,7,7A,English,Term 1,70,72,M,Math Intervention,None,68,Ms. Chen
S004,Omar,Khalil,7,7A,Math,Term 2,64,79,M,Math Intervention,Basketball,67,Mr. Diaz
S004,Omar,Khalil,7,7A,Science,Term 2,69,79,M,Math Intervention,Basketball,71,Ms. Brooks
S004,Omar,Khalil,7,7A,English,Term 2,73,79,M,Math Intervention,Basketball,74,Ms. Chen
S005,Sofia,Martinez,7,7A,Math,Term 1,88,95,F,None,Choir,92,Mr. Diaz
S005,Sofia,Martinez,7,7A,Science,Term 1,86,95,F,None,Choir,90,Ms. Brooks
S005,Sofia,Martinez,7,7A,English,Term 1,90,95,F,None,Choir,94,Ms. Chen
S005,Sofia,Martinez,7,7A,Math,Term 2,90,96,F,None,Choir,93,Mr. Diaz
S005,Sofia,Martinez,7,7A,Science,Term 2,89,96,F,None,Choir,92,Ms. Brooks
S005,Sofia,Martinez,7,7A,English,Term 2,92,96,F,None,Choir,95,Ms. Chen
S006,Ethan,Wright,7,7B,Math,Term 1,74,88,M,None,Robotics,82,Mr. Diaz
S006,Ethan,Wright,7,7B,Science,Term 1,79,88,M,None,Robotics,85,Ms. Brooks
S006,Ethan,Wright,7,7B,English,Term 1,71,88,M,None,Robotics,79,Ms. Chen
