Index,Student Name,Id Number,Math - Second Term,Science - Second Term,English Language - Second Term,Arabic Language - Second Term,Individuals & Societies - Second Term,Design - Second Term,Physical and Health Education - Second Term,Visual Arts - Second Term
1,Student A,1001,68,70,70,76,84,78,90,86
2,Student B,1002,82,82,70,78,88,78,92,70
3,Student C,1003,88,80,70,82,86,72,92,63
4,Student D,1004,90,76,66,86,92,78,84,78
5,Student E,1005,76,84,78,76,90,86,92,90
6,Student F,1006,70,80,70,76,92,84,84,84
7,Student G,1007,57,70,66,66,80,78,72,86
8,Student H,1008,98,86,82,92,96,88,98,80
9,Student I,1009,96,86,92,90,98,96,90,100
10,Student J,1010,74,70,68,74,78,72,76,78
11,Student K,1011,74,70,72,70,94,86,82,98
12,Student L,1012,76,78,66,84,84,78,88,63
13,Student M,1013,70,78,70,80,82,74,88,63
14,Student N,1014,94,90,90,84,96,88,90,98
15,Student O,1015,88,82,84,80,90,86,88,92
